Num;ID;Energy_kcal;Protein_g;Fat_g;Carb_g;Sugar_g;Fiber_g;VitA_mcg;VitB6_mg;VitB12_mcg;VitC_mg;VitE_mg;Folate_mcg;Niacin_mg;Riboflavin_mg;Thiamin_mg;Calcium_mg;Copper_mcg;Iron_mg;Magnesium_mg;Manganese_mg;Phosphorus_mg;Selenium_mcg;Zinc_mg;VitA_USRDA;VitB6_USRDA;VitB12_USRDA;VitC_USRDA;VitE_USRDA;Folate_USRDA;Niacin_USRDA;Riboflavin_USRDA;Thiamin_USRDA;Calcium_USRDA;Copper_USRDA;Magnesium_USRDA;Phosphorus_USRDA;Selenium_USRDA;Zinc_USRDA
2603;10089;397;29.06;30.3;0;0;0;3;0.35;1.08;0;0.34;4;5.475;0.382;0.408;47;0.142;1.85;24;0.014;261;37.4;4.6;0.00333333333333333;0.205882352941176;0.45;0;0.0226666666666667;0.01;0.3421875;0.293846153846154;0.34;0.0391666666666667;0.000157777777777778;0.0571428571428571;0.372857142857143;0.68;0.418181818181818
195;1227;325;24.51;24.35;2.04;0.55;0;226;0.091;1.7;0;0.49;0;0.083;0.23;0.038;661;0.027;0.18;27;0.018;475;22.4;3.28;0.251111111111111;0.0535294117647059;0.708333333333333;0;0.0326666666666667;0;0.0051875;0.176923076923077;0.0316666666666667;0.550833333333333;3,00E-05;0.0642857142857143;0.678571428571429;0.407272727272727;0.298181818181818
2918;11100;41;3.78;0.41;7.86;0;3.8;31;0.202;0;74.1;0;123;0.638;0.122;0.105;26;0.033;0.93;20;0.311;62;1.5;0.31;0.0344444444444444;0.118823529411765;0;0.823333333333333;0;0.3075;0.039875;0.0938461538461538;0.0875;0.0216666666666667;3,67E+09;0.0476190476190476;0.0885714285714286;0.0272727272727273;0.0281818181818182
7514;23480;147;27.58;4.06;0;0;0;3;0.36;2.49;0;0.12;6;5.648;0.171;0.032;6;0.079;3.11;22;0.011;202;22.5;6.94;0.00333333333333333;0.211764705882353;10.375;0;0.008;0.015;0.353;0.131538461538462;0.0266666666666667;0.005;8,78E+09;0.0523809523809524;0.288571428571429;0.409090909090909;0.630909090909091
4771;16057;164;8.86;2.59;27.42;4.8;7.6;1;0.139;0;1.3;0.35;172;0.526;0.063;0.116;49;0.352;2.89;48;1.03;168;3.7;1.53;0.00111111111111111;0.0817647058823529;0;0.0144444444444444;0.0233333333333333;0.43;0.032875;0.0484615384615385;0.0966666666666667;0.0408333333333333;0.000391111111111111;0.114285714285714;0.24;0.0672727272727273;0.139090909090909
482;3303;74;2.51;2.17;11.04;2.65;1.3;216;0.137;0.05;0;0.58;6;1.04;0.04;0.02;30;0.081;0.45;13;0.153;25;1.7;0.37;0.24;0.0805882352941177;0.0208333333333333;0;0.0386666666666667;0.015;0.065;0.0307692307692308;0.0166666666666667;0.025;9,00E-05;0.030952380952381;0.0357142857142857;0.0309090909090909;0.0336363636363636
3357;11701;78;4.49;0.1;16.14;0;0;0;0.206;0;0.3;0;9;1.16;0.06;0.144;7;0.135;1.21;49;0.285;197;0.6;0.22;0;0.121176470588235;0;0.00333333333333333;0;0.0225;0.0725;0.0461538461538461;0.12;0.00583333333333333;0.00015;0.116666666666667;0.281428571428571;0.0109090909090909;0.02
3176;11422;26;1;0.1;6.5;2.76;0.5;426;0.061;0;9;1.06;16;0.6;0.11;0.05;21;0.127;0.8;12;0.125;44;0.3;0.32;0.473333333333333;0.0358823529411765;0;0.1;0.0706666666666667;0.04;0.0375;0.0846153846153846;0.0416666666666667;0.0175;0.000141111111111111;0.0285714285714286;0.0628571428571429;0.00545454545454545;0.0290909090909091
1751;7905;109;12.5;1.59;11.21;0;0;0;0.181;1.06;24;0;6;3.466;0.154;0.162;54;0.117;1.78;14;0;132;18.7;2.92;0;0.106470588235294;0.441666666666667;0.266666666666667;0;0.015;0.216625;0.118461538461538;0.135;0.045;0.00013;0.0333333333333333;0.188571428571429;0.34;0.265454545454545
1473;6480;4;0.28;0.23;0.3;0.29;0;0;0.002;0;0;0.01;1;0.041;0.007;0.002;6;0.01;0.02;2;0.003;3;0.5;0.01;0;0.00117647058823529;0;0;0.000666666666666667;0.0025;0.0025625;0.00538461538461538;0.00166666666666667;0.005;1,11E+09;0.00476190476190476;0.00428571428571429;0.00909090909090909;0.000909090909090909
